techs,scenario,year,locs,unit,flow_in_50
electric_heater,climate_neutrality,2050,AUT,twh,0.005398850572784613
electric_heater,climate_neutrality,2050,BEL,twh,0.008237159018855137
electric_heater,climate_neutrality,2050,BGR,twh,0.0014000158462127393
electric_heater,climate_neutrality,2050,CYP,twh,0.00027760886518452536
electric_heater,climate_neutrality,2050,CZE,twh,0.007012962845786478
electric_heater,climate_neutrality,2050,DEU,twh,0.07211119485211603
electric_heater,climate_neutrality,2050,DNK,twh,0.0040267356042581505
electric_heater,climate_neutrality,2050,ESP,twh,0.01664995153152081
electric_heater,climate_neutrality,2050,EST,twh,0.0003430244523231472
electric_heater,climate_neutrality,2050,FIN,twh,0.004633290157208448
electric_heater,climate_neutrality,2050,FRA,twh,0.04336563860228027
electric_heater,climate_neutrality,2050,GBR,twh,0.0411174983495929
electric_heater,climate_neutrality,2050,GRC,twh,0.0035749734582646844
electric_heater,climate_neutrality,2050,HRV,twh,0.0016464233151609285
electric_heater,climate_neutrality,2050,HUN,twh,0.004309376253434712
electric_heater,climate_neutrality,2050,IRL,twh,0.00269469160541362
electric_heater,climate_neutrality,2050,ITA,twh,0.027709020210822465
electric_heater,climate_neutrality,2050,LTU,twh,0.0008896032199058892
electric_heater,climate_neutrality,2050,LUX,twh,0.0006663343561602092
electric_heater,climate_neutrality,2050,LVA,twh,0.00025796240163682637
electric_heater,climate_neutrality,2050,NLD,twh,0.013037508168016458
electric_heater,climate_neutrality,2050,POL,twh,0.018446978236885805
electric_heater,climate_neutrality,2050,PRT,twh,0.003369850514084196
electric_heater,climate_neutrality,2050,ROU,twh,0.004024919407566031
electric_heater,climate_neutrality,2050,SVK,twh,0.0017717198400471093
electric_heater,climate_neutrality,2050,SVN,twh,0.0005380010741476253
electric_heater,climate_neutrality,2050,SWE,twh,0.0060970302709440725
light_transport_ev,climate_neutrality,2050,AUT,twh,0.0004585093520568855
light_transport_ev,climate_neutrality,2050,BEL,twh,0.0020556638039079564
light_transport_ev,climate_neutrality,2050,BGR,twh,4.035474800360006e-06
light_transport_ev,climate_neutrality,2050,CYP,twh,2.3808062500936375e-06
light_transport_ev,climate_neutrality,2050,CZE,twh,1.9911920325681996e-05
light_transport_ev,climate_neutrality,2050,DEU,twh,0.009073465543899954
light_transport_ev,climate_neutrality,2050,DNK,twh,2.3410581606023712e-05
light_transport_ev,climate_neutrality,2050,ESP,twh,0.004232994729208768
light_transport_ev,climate_neutrality,2050,EST,twh,1.313364796731466e-06
light_transport_ev,climate_neutrality,2050,FIN,twh,1.5722555316035753e-05
light_transport_ev,climate_neutrality,2050,FRA,twh,0.005100836236657823
light_transport_ev,climate_neutrality,2050,GBR,twh,0.004117783189433734
light_transport_ev,climate_neutrality,2050,GRC,twh,1.0812938111991945e-05
light_transport_ev,climate_neutrality,2050,HRV,twh,5.4035475857870115e-06
light_transport_ev,climate_neutrality,2050,HUN,twh,6.076317959205906e-06
light_transport_ev,climate_neutrality,2050,IRL,twh,5.172652966925258e-06
light_transport_ev,climate_neutrality,2050,ITA,twh,0.0005565078142935073
light_transport_ev,climate_neutrality,2050,LTU,twh,1.0368433506850042e-05
light_transport_ev,climate_neutrality,2050,LUX,twh,4.4890925624643696e-06
light_transport_ev,climate_neutrality,2050,LVA,twh,5.111848692292843e-06
light_transport_ev,climate_neutrality,2050,NLD,twh,0.0012891217828372098
light_transport_ev,climate_neutrality,2050,POL,twh,0.005371340712765963
light_transport_ev,climate_neutrality,2050,PRT,twh,7.418452404200528e-06
light_transport_ev,climate_neutrality,2050,ROU,twh,1.34509406795052e-05
light_transport_ev,climate_neutrality,2050,SVK,twh,1.2695479363084134e-05
light_transport_ev,climate_neutrality,2050,SVN,twh,0.00031979093714360233
light_transport_ev,climate_neutrality,2050,SWE,twh,0.0011788573517583951
