techs,scenario,year,locs,unit,flow_in_sum
electric_heater,climate_neutrality,2050,AUT,twh,27.39620468870247
electric_heater,climate_neutrality,2050,BEL,twh,43.24801979081346
electric_heater,climate_neutrality,2050,BGR,twh,6.859279255385674
electric_heater,climate_neutrality,2050,CYP,twh,1.3709615627802916
electric_heater,climate_neutrality,2050,CZE,twh,33.81803019598034
electric_heater,climate_neutrality,2050,DEU,twh,330.35881080728143
electric_heater,climate_neutrality,2050,DNK,twh,20.9131220682478
electric_heater,climate_neutrality,2050,ESP,twh,82.69928412091124
electric_heater,climate_neutrality,2050,EST,twh,1.676046955316724
electric_heater,climate_neutrality,2050,FIN,twh,22.102476004481993
electric_heater,climate_neutrality,2050,FRA,twh,210.42222218811406
electric_heater,climate_neutrality,2050,GBR,twh,203.50462304365314
electric_heater,climate_neutrality,2050,GRC,twh,18.154661381547047
electric_heater,climate_neutrality,2050,HRV,twh,8.897068077754607
electric_heater,climate_neutrality,2050,HUN,twh,25.185390534644338
electric_heater,climate_neutrality,2050,IRL,twh,13.34520225670466
electric_heater,climate_neutrality,2050,ITA,twh,142.69276616888206
electric_heater,climate_neutrality,2050,LTU,twh,4.17306591191712
electric_heater,climate_neutrality,2050,LUX,twh,3.4263304581355296
electric_heater,climate_neutrality,2050,LVA,twh,1.6069564967633996
electric_heater,climate_neutrality,2050,NLD,twh,69.736826986855
electric_heater,climate_neutrality,2050,POL,twh,93.15367492148789
electric_heater,climate_neutrality,2050,PRT,twh,18.118035015038416
electric_heater,climate_neutrality,2050,ROU,twh,19.963605809474085
electric_heater,climate_neutrality,2050,SVK,twh,9.071182077254074
electric_heater,climate_neutrality,2050,SVN,twh,2.5390458713984407
electric_heater,climate_neutrality,2050,SWE,twh,29.06923718287902
light_transport_ev,climate_neutrality,2050,AUT,twh,29.348459228522366
light_transport_ev,climate_neutrality,2050,BEL,twh,42.41184567122542
light_transport_ev,climate_neutrality,2050,BGR,twh,13.586897900082793
light_transport_ev,climate_neutrality,2050,CYP,twh,2.712922413407097
light_transport_ev,climate_neutrality,2050,CZE,twh,25.460960346879133
light_transport_ev,climate_neutrality,2050,DEU,twh,227.39166684524062
light_transport_ev,climate_neutrality,2050,DNK,twh,19.726975140818535
light_transport_ev,climate_neutrality,2050,ESP,twh,124.10373702154521
light_transport_ev,climate_neutrality,2050,EST,twh,3.457326938251556
light_transport_ev,climate_neutrality,2050,FIN,twh,20.358022280165457
light_transport_ev,climate_neutrality,2050,FRA,twh,237.81992323771777
light_transport_ev,climate_neutrality,2050,GBR,twh,179.40562992306957
light_transport_ev,climate_neutrality,2050,GRC,twh,21.849497354666656
light_transport_ev,climate_neutrality,2050,HRV,twh,9.288881487883579
light_transport_ev,climate_neutrality,2050,HUN,twh,16.823251251067717
light_transport_ev,climate_neutrality,2050,IRL,twh,17.195597410154956
light_transport_ev,climate_neutrality,2050,ITA,twh,168.43079399850347
light_transport_ev,climate_neutrality,2050,LTU,twh,7.513003883762638
light_transport_ev,climate_neutrality,2050,LUX,twh,2.321368514269577
light_transport_ev,climate_neutrality,2050,LVA,twh,4.039181595797066
light_transport_ev,climate_neutrality,2050,NLD,twh,48.200208604062645
light_transport_ev,climate_neutrality,2050,POL,twh,91.07616415681
light_transport_ev,climate_neutrality,2050,PRT,twh,28.768454371983893
light_transport_ev,climate_neutrality,2050,ROU,twh,25.50508275258165
light_transport_ev,climate_neutrality,2050,SVK,twh,9.214270904234533
light_transport_ev,climate_neutrality,2050,SVN,twh,7.466571603684272
light_transport_ev,climate_neutrality,2050,SWE,twh,26.91127535668909
