techs,scenario,year,locs,unit,flow_in_summer_peak
electric_heater,climate_neutrality,2050,AUT,twh,0.006672180578315598
electric_heater,climate_neutrality,2050,BEL,twh,0.00726582126911954
electric_heater,climate_neutrality,2050,BGR,twh,0.0028905399156477544
electric_heater,climate_neutrality,2050,CYP,twh,0.0005066561114579215
electric_heater,climate_neutrality,2050,CZE,twh,0.00887814582970717
electric_heater,climate_neutrality,2050,DEU,twh,0.09316178102430697
electric_heater,climate_neutrality,2050,DNK,twh,0.003962978841793447
electric_heater,climate_neutrality,2050,ESP,twh,0.03223062367497757
electric_heater,climate_neutrality,2050,EST,twh,0.0007373955756238544
electric_heater,climate_neutrality,2050,FIN,twh,0.006684699771653983
electric_heater,climate_neutrality,2050,FRA,twh,0.052593545663274746
electric_heater,climate_neutrality,2050,GBR,twh,0.043752450774309753
electric_heater,climate_neutrality,2050,GRC,twh,0.005373222187231349
electric_heater,climate_neutrality,2050,HRV,twh,0.0025539317921154684
electric_heater,climate_neutrality,2050,HUN,twh,0.00481848970924423
electric_heater,climate_neutrality,2050,IRL,twh,0.0032461393769156605
electric_heater,climate_neutrality,2050,ITA,twh,0.03461589412964232
electric_heater,climate_neutrality,2050,LTU,twh,0.0014925393764664637
electric_heater,climate_neutrality,2050,LUX,twh,0.0006833028958004287
electric_heater,climate_neutrality,2050,LVA,twh,0.0008592788595905129
electric_heater,climate_neutrality,2050,NLD,twh,0.013369941607969
electric_heater,climate_neutrality,2050,POL,twh,0.024564827394745515
electric_heater,climate_neutrality,2050,PRT,twh,0.008487565376583487
electric_heater,climate_neutrality,2050,ROU,twh,0.005723264200271712
electric_heater,climate_neutrality,2050,SVK,twh,0.002241114548230683
electric_heater,climate_neutrality,2050,SVN,twh,0.0010204902413887182
electric_heater,climate_neutrality,2050,SWE,twh,0.007687275325711335
light_transport_ev,climate_neutrality,2050,AUT,twh,0.12286717547357816
light_transport_ev,climate_neutrality,2050,BEL,twh,0.08211231870647
light_transport_ev,climate_neutrality,2050,BGR,twh,0.04660233561102321
light_transport_ev,climate_neutrality,2050,CYP,twh,0.0036037038784867605
light_transport_ev,climate_neutrality,2050,CZE,twh,0.028128305504517323
light_transport_ev,climate_neutrality,2050,DEU,twh,0.5112902663535367
light_transport_ev,climate_neutrality,2050,DNK,twh,0.07697700743737443
light_transport_ev,climate_neutrality,2050,ESP,twh,0.2626343867001589
light_transport_ev,climate_neutrality,2050,EST,twh,0.021706339235739926
light_transport_ev,climate_neutrality,2050,FIN,twh,0.05015313409991509
light_transport_ev,climate_neutrality,2050,FRA,twh,0.42113936646419153
light_transport_ev,climate_neutrality,2050,GBR,twh,0.39951867739935026
light_transport_ev,climate_neutrality,2050,GRC,twh,0.03654403540175273
light_transport_ev,climate_neutrality,2050,HRV,twh,0.021832768638868853
light_transport_ev,climate_neutrality,2050,HUN,twh,0.09925472572613656
light_transport_ev,climate_neutrality,2050,IRL,twh,0.11469047443130106
light_transport_ev,climate_neutrality,2050,ITA,twh,0.3250694029114437
light_transport_ev,climate_neutrality,2050,LTU,twh,0.020952349531252412
light_transport_ev,climate_neutrality,2050,LUX,twh,0.006669507820632692
light_transport_ev,climate_neutrality,2050,LVA,twh,0.009063169334640997
light_transport_ev,climate_neutrality,2050,NLD,twh,0.13472937083693462
light_transport_ev,climate_neutrality,2050,POL,twh,0.24868967375852055
light_transport_ev,climate_neutrality,2050,PRT,twh,0.14725261572656542
light_transport_ev,climate_neutrality,2050,ROU,twh,0.15321778207650433
light_transport_ev,climate_neutrality,2050,SVK,twh,0.013882308485320967
light_transport_ev,climate_neutrality,2050,SVN,twh,0.024909972203699674
light_transport_ev,climate_neutrality,2050,SWE,twh,0.06542731790993635
